TAXREF17;TAXREF17
CD_REF;NOM LATIN
80224;Adonis flammea
80224;Adonis flammea
80224;Adonis flammea
80212;Adonis annua
80238;Adonis pyrenaica
80240;Adonis vernalis
80243;Adoxa moschatellina
80263;Aegilops biuncialis
718298;Aegilops biuncialis subsp. biuncialis
80270;Aegilops caudata
610755;Aegilops columnaris
610756;Aegilops crassa
80270;Aegilops cylindrica
80278;Aegilops geniculata
80282;Aegilops juvenalis
955740;Aegilops speltoides subsp. ligustica
;
80288;Aegilops neglecta
80297;Aegilops speltoides subsp. ligustica
955741;Aegilops speltoides subsp. speltoides
80302;Aegilops triuncialis
160336;Aegilops triuncialis subsp. triuncialis
80304;Aegilops ventricosa
932300;x Aegilotriticum
610609;Aegokeras caespitosa
80322;Aegopodium podagraria
80329;Aeluropus littoralis
80331;Aeonium arboreum
610758;Aeonium cuneatum
80332;Aeonium haworthii
447156;Aeschynomene indica
80338;Aesculus carnea
610760;Aesculus flava
80334;Aesculus hippocastanum
610759;Aesculus parviflora
80335;Aesculus pavia
80347;Aethionema monospermum
80347;Aethionema saxatile
80347;Aethionema monospermum
80351;Aethionema thomasianum
80358;Aethusa cynapium
130873;Aethusa cynapium subsp. cynapium
130873;Aethusa cynapium subsp. cynapium
130873;Aethusa cynapium subsp. cynapium
611902;Aethusa cynapium subsp. elata
80371;Agapanthus africanus
80372;Agapanthus campanulatus
80373;Agapanthus inapertus
154683;Agapanthus inapertus subsp. pendulus
611775;Agapanthus praecox
80383;Agave americana
610761;Agave bracteosa
610762;Agave salmiana
80387;Ageratina adenophora
445438;Ageratum conyzoides
80390;Ageratum houstonianum
80410;Agrimonia eupatoria
130876;Agrimonia eupatoria subsp. eupatoria
130877;Agrimonia eupatoria subsp. grandis
80417;Agrimonia procera
80417;Agrimonia procera
80424;Agrimonia x wirtgenii
80446;Agropyron cristatum
130885;Agropyron cristatum subsp. pectinatum
80546;Agrostemma githago
610787;Agrostemma gracile
80741;Agrostis schraderiana
80564;Agrostis alpina
80564;Agrostis alpina
80564;Agrostis alpina
80564;Agrostis canina
613139;Agrostis canina var. canina
130945;Agrostis canina subsp. canina
718632;Agrostis canina var. opulenta
80591;Agrostis capillaris
130953;Agrostis capillaris var. capillaris
130953;Agrostis capillaris var. capillaris
;
613447;Agrostis capillaris var. alpigena
130953;Agrostis capillaris var. capillaris
610794;Agrostis x fouilladeana
80593;Agrostis castellana
718633;Agrostis castellana var. castellana
621655;Agrostis castellana var. mutica
80605;Agrostis curtisii
718382;Neoschischkinia truncatula subsp. durieui
80639;Agrostis gigantea
80639;Agrostis gigantea
610791;Agrostis x gigantifera
80645;Agrostis hesperica
80650;Agrostis hyemalis
610789;Agrostis marysae-tortiae
80672;Agrostis mertensii
610790;Agrostis montevidensis
717797;Neoschischkinia pourretii
80564;Agrostis alpina
613452;Agrostis rupestris var. alpinoides
80729;Agrostis rupestris
142920;Agrostis rupestris var. pyrenaica
613160;Agrostis rupestris var. rupestris
80735;Agrostis scabra
80739;Agrostis schleicheri
80741;Agrostis schraderiana
80591;Agrostis stolonifera
613631;Agrostis stolonifera var. arenaria
613631;Agrostis stolonifera var. arenaria
610791;Agrostis x gigantifera
80759;Agrostis stolonifera
142987;Agrostis stolonifera var. stolonifera
109496;Neoschischkinia elegans
80590;Agrostis canina
612384;Agrostis vinealis subsp. ericetorum
612385;Agrostis vinealis subsp. vinealis
80808;Agrostis x bjoerkmanii
80809;Agrostis x castriferrei
610794;Agrostis x fouilladeana
610791;Agrostis x gigantifera
80811;Agrostis x hackelii
80819;Agrostis x murbeckii
610788;Agrostis x stebleri
610792;Agrostis x torgesii
80824;Ailanthus altissima
80846;Aira armoricana
80846;Aira caryophyllea
80864;Aira cupaniana
80864;Aira cupaniana
80871;Aira elegantissima
80902;Aira multiculmis
80857;Aira praecox
80912;Aira provincialis
80923;Aira tenorei
80923;Aira tenorei
80923;Aira tenorei
971406;Airopsis tenella
80978;Ajuga chamaepitys
80978;Ajuga chamaepitys
80980;Ajuga genevensis
80983;Ajuga iva
80983;Ajuga iva
80983;Ajuga iva
80988;Ajuga pyramidalis
80988;Ajuga pyramidalis
80988;Ajuga pyramidalis
80988;Ajuga pyramidalis
80990;Ajuga reptans
;
81000;Ajuga x pseudopyramidalis
80998;Ajuga x hybrida
81001;Akebia quinata
447347;Albizia julibrissin
81019;Alcea biennis
81023;Alcea rosea
81058;Alchemilla connivens
81027;Alchemilla acutiloba
81027;Alchemilla acutiloba
81027;Alchemilla acutiloba
81032;Alchemilla alpigena
81032;Alchemilla alpina
81034;Alchemilla amphibola
81035;Alchemilla amphisericea
;
81058;Alchemilla connivens
81045;Alchemilla benasquensis
81046;Alchemilla borderei
;
81032;Alchemilla alpigena
81055;Alchemilla colorata
;
81057;Alchemilla conjuncta
81058;Alchemilla connivens
717055;Alchemilla controversa
81059;Alchemilla coriacea
81063;Alchemilla crinita
81065;Alchemilla decumbens
81068;Alchemilla demissa
610822;Alchemilla diluta
81088;Alchemilla glabra
81058;Alchemilla connivens
81071;Alchemilla exigua
81072;Alchemilla fallax
81073;Alchemilla filicaulis
81073;Alchemilla filicaulis
81073;Alchemilla filicaulis
81083;Alchemilla frigens
81072;Alchemilla fissa
81055;Alchemilla flabellata
81032;Alchemilla alpigena
81079;Alchemilla flexicaulis
81032;Alchemilla alpigena
81083;Alchemilla frigens
81086;Alchemilla fulgens
81075;Alchemilla fissa
81092;Alchemilla glacialis
717720;Alchemilla glacialis x
81091;Alchemilla glaucescens
81092;Alchemilla glomerulans
81095;Alchemilla grenieri
81096;Alchemilla grossidens
81097;Alchemilla heteropoda
81032;Alchemilla hoppeana
81055;Alchemilla glaucescens
81153;Alchemilla reniformis
81104;Alchemilla incisa
81059;Alchemilla coriacea
788896;Alchemilla jaquetiana
717720;Alchemilla glacialis x
81117;Alchemilla leptoclada
81088;Alchemilla glabra
81083;Alchemilla frigens
;
;
81027;Alchemilla acutiloba
610820;Alchemilla mollis
81130;Alchemilla monticola
717061;Alchemilla montserratii
81058;Alchemilla connivens
717062;Alchemilla nafarroana
81032;Alchemilla alpigena
717063;Alchemilla obscura
81088;Alchemilla glabra
717064;Alchemilla ozana
81137;Alchemilla pallens
81140;Alchemilla pentaphyllea
717721;Alchemilla petiolulans
81032;Alchemilla alpigena
81142;Alchemilla plicata
717065;Alchemilla polatschekiana
717066;Alchemilla propinqua
81088;Alchemilla glabra
892219;Alchemilla reflexa
81153;Alchemilla reniformis
81097;Alchemilla heteropoda
81159;Alchemilla saxatilis
81161;Alchemilla schmidelyana
81032;Alchemilla alpigena
81068;Alchemilla demissa
81164;Alchemilla sericoneura
81182;Alchemilla trunciloba
610821;Alchemilla speciosa
81086;Alchemilla splendens
81059;Alchemilla coriacea
608142;Alchemilla strigosula
81170;Alchemilla subcrenata
717722;Alchemilla subglobosa
81171;Alchemilla subsericea
81097;Alchemilla heteropoda
81179;Alchemilla transiens
81182;Alchemilla trunciloba
81170;Alchemilla subcrenata
81058;Alchemilla connivens
81190;Alchemilla vetteri
81027;Alchemilla acutiloba
81193;Alchemilla x cuneata
81195;Alchemilla xanthochlora
81197;Aldrovanda vesiculosa
81260;Alisma gramineum
81263;Alisma lanceolatum
