TAXREF17;TAXREF17
CD_REF;NOM LATIN
717362;Oxybasis urbica
90836;Chenopodium vulvaria
90841;Chenopodium x dadakovae
;
90844;Chenopodium x gruellii
1022677;x Lipastrum
;
;
1022679;Oxybasis x schulzeana
;
90856;Chenopodium x thellungii
90857;Chenopodium x tridentinum
90847;Chenopodium x jedlickae
717139;Chiliadenus glutinosus
90875;Chimaphila maculata
90877;Chimaphila umbellata
991589;Chimonanthus praecox
717140;Chimonobambusa quadrangularis
928526;Scilla forbesii
621449;Scilla sardensis
90914;Chloris divaricata
966708;Chloris gayana
;
;
90923;Chloris truncata
;
90925;Chloris virgata
90939;Choisya ternata
90954;Chondrilla juncea
91001;Chorispora tenella
91010;Chrozophora tinctoria
91012;Chrysanthemoides monilifera
133259;Chrysanthemoides monilifera subsp. monilifera
91047;Chrysanthemum indicum
91116;Chrysopogon gryllus
91118;Chrysosplenium alternifolium
91120;Chrysosplenium oppositifolium
91121;Chrysosplenium x hypotheticum
91132;Cicendia filiformis
91136;Cicer arietinum
104734;Lactuca alpina
91160;Cichorium calvum
91165;Cichorium endivia
716905;Cichorium endivia var. crispum
133284;Cichorium endivia var. endivia
718669;Cichorium endivia var. latifolium
91169;Cichorium intybus
91169;Cichorium intybus
91169;Cichorium intybus
145530;Cichorium intybus var. foliosum
613492;Cichorium intybus var. intybus
613491;Cichorium intybus var. sativum
91172;Cichorium pumilum
91199;Cicuta virosa
1036512;Camphora glandulifera
91256;Circaea alpina
133298;Circaea alpina subsp. alpina
91256;Circaea lutetiana
91267;Circaea x intermedia
133303;Cirsium acaulon
621080;Cirsium acaulon
621080;Cirsium acaulon
91282;Cirsium alsophilum
91289;Cirsium arvense
91289;Cirsium arvense
91289;Cirsium arvense
91300;Cirsium canum
91303;Cirsium carniolicum
133309;Cirsium carniolicum subsp. rufescens
91314;Cirsium creticum
133311;Cirsium creticum subsp. triumfetti
91322;Cirsium dissectum
91323;Cirsium echinatum
91307;Cirsium eriophorum
91327;Cirsium eriophorum
91409;Cirsium spathulatum
91327;Cirsium eriophorum
91328;Cirsium erisithales
91330;Cirsium ferox
91332;Cirsium filipendulum
91338;Cirsium glabrum
91346;Cirsium heterophyllum
91353;Cirsium italicum
91369;Cirsium monspessulanum
133331;Cirsium monspessulanum subsp. ferox
133332;Cirsium monspessulanum subsp. monspessulanum
91282;Cirsium alsophilum
91374;Cirsium morisianum
91377;Cirsium odontolepis
91378;Cirsium oleraceum
91382;Cirsium palustre
91394;Cirsium pyrenaicum
91397;Cirsium richterianum
133335;Cirsium richterianum subsp. costae
133336;Cirsium richterianum subsp. richterianum
91282;Cirsium alsophilum
91404;Cirsium scabrum
91410;Cirsium spinosissimum
91322;Cirsium tuberosum
91430;Cirsium vulgare
133343;Cirsium vulgare subsp. crinitum
133346;Cirsium vulgare subsp. vulgare
133346;Cirsium vulgare subsp. vulgare
91434;Cirsium x affine
91436;Cirsium x alpestre
91437;Cirsium x ambiguum
91438;Cirsium x aragonense
91439;Cirsium x arenesi
91441;Cirsium x arisitense
91443;Cirsium x aschersonii
91449;Cirsium x bifrons
91450;Cirsium x bigerriense
91451;Cirsium x bipontinum
91454;Cirsium x boulayii
91456;Cirsium x braunblanquetii
91457;Cirsium x braunei
91458;Cirsium x breunium
91459;Cirsium x breviscapum
91460;Cirsium x brunneri
91461;Cirsium x burgalense
91463;Cirsium x candolleanum
91467;Cirsium x catalaunicum
91468;Cirsium x celakovskianum
91307;Cirsium x chatenieri
91480;Cirsium x discolor
91482;Cirsium x dominii
91463;Cirsium x candolleanum
91486;Cirsium x erucagineum
91488;Cirsium x fabium
91491;Cirsium x fissibracteatum
91492;Cirsium x flavescens
91494;Cirsium x fleischeri
91496;Cirsium x forsteri
91498;Cirsium x galisserianum
91501;Cirsium x gayi
91502;Cirsium x gerhardtii
91510;Cirsium x heerianum
91512;Cirsium x heuseri
91517;Cirsium x hybridum
91518;Cirsium x inerme
91523;Cirsium x jouffroyi
91533;Cirsium x mailhoi
91534;Cirsium x martinii
611298;Cirsium x medium
91536;Cirsium x meratii
91541;Cirsium x moravicum
91543;Cirsium x murrianum
91545;Cirsium x narbonense
91548;Cirsium x norrisii
91549;Cirsium x ochroleucum
91557;Cirsium x praealpinum
91558;Cirsium x prantlii
91561;Cirsium x pulchrum
91562;Cirsium x purpureum
91564;Cirsium x reichenbachianum
91566;Cirsium x reyi
91568;Cirsium x rigens
91573;Cirsium x sabaudum
91577;Cirsium x schultzianum
91578;Cirsium x semidecurrens
91580;Cirsium x sennenii
91585;Cirsium x siegertii
91586;Cirsium x silesiacum
91588;Cirsium x soroksarense
91589;Cirsium x spinifolium
91593;Cirsium x subalpinum
91598;Cirsium x subspinuligerum
91599;Cirsium x tappeineri
91600;Cirsium x tataricum
91601;Cirsium x thomasii
91603;Cirsium x tiroliense
91609;Cirsium x variegatum
611297;Cirsium x vivantii
91610;Cirsium x wankelii
91612;Cirsium x winklerianum
91614;Cirsium x woodwardii
91622;Cistanche phelypaea
91630;Cistus albidus
91646;Cistus creticus
91646;Cistus creticus
91646;Cistus creticus
91646;Cistus creticus
91647;Cistus crispus
611299;Cistus crispus x
91668;Cistus halimifolius
612433;Cistus halimifolius var. halimifolius
91677;Cistus inflatus
91680;Cistus ladanifer
133357;Cistus ladanifer subsp. ladanifer
611300;Cistus lasianthus
612609;Cistus lasianthus subsp. alyssoides
91684;Cistus laurifolius
133358;Cistus laurifolius subsp. atlanticus
133359;Cistus laurifolius subsp. laurifolius
91692;Cistus monspeliensis
91707;Cistus populifolius
133362;Cistus populifolius subsp. populifolius
91708;Cistus pouzolzii
91677;Cistus inflatus
91715;Cistus salviifolius
91727;Cistus umbellatus
612436;Cistus umbellatus subsp. umbellatus
612435;Cistus umbellatus subsp. viscosus
91741;Cistus x bornetianus
91745;Cistus x cebennensis
611302;Cistus x cheiranthoides
91749;Cistus x cyprius
91750;Cistus x dansereaui
91751;Cistus x daveauanus
91753;Cistus x dubius
91754;Cistus x fernandesae
91756;Cistus x florentinus
91759;Cistus x hetieri
91760;Cistus x hybridus
91761;Cistus x incanus
611301;Cistus x ingwersenii
91763;Cistus x laxus
91764;Cistus x lecomtei
91765;Cistus x ledon
91773;Cistus x neyrautii
91775;Cistus x nigricans
91776;Cistus x novus
91777;Cistus x obtusifolius
91781;Cistus x platysepalus
91783;Cistus x ponsii
160940;Cistus x purpureus
91790;Cistus x revolii
;
91791;Cistus x rodiei
91792;Cistus x sahucii
91793;Cistus x sammonsii
91794;Cistus x sintenisii
91795;Cistus x stenophyllus
91797;Cistus x timbalii
91799;Cistus x verguinii
611303;Citrullus colocynthis
91800;Citrullus lanatus
966886;Citrus x aurantiifolia
160289;Citrus x aurantium
966887;Citrus x aurantium
971026;Citrus x limon
971674;Citrus x latifolia
971687;Citrus x limon
91817;Citrus x limon
160289;Citrus maxima
91811;Citrus medica
91812;Citrus reticulata
971672;Citrus x aurantium
91817;Citrus x limonia
971723;Citrus x aurantium
610631;Cladanthus arabicus
91819;Cladanthus mixtus
91823;Cladium mariscus
91829;Clarkia amoena
91829;Clarkia amoena
91829;Clarkia amoena
91829;Clarkia amoena
91833;Clarkia pulchella
91834;Clarkia unguiculata
91848;Claytonia perfoliata
91849;Claytonia sibirica
91852;Cleistogenes serotina
91853;Clematis alpina
133376;Clematis alpina subsp. alpina
91862;Clematis cirrhosa
91867;Clematis flammula
91867;Clematis flammula
91867;Clematis flammula
160294;Clematis lanuginosa
91874;Clematis montana
145631;Clematis montana var. montana
145632;Clematis montana var. rubens
91877;Clematis patens
91880;Clematis recta
91886;Clematis vitalba
91887;Clematis viticella
718219;Clematis viticella subsp. campaniflora
612438;Clematis viticella subsp. viticella
91888;Clematis x jackmanii
91889;Clematis x stricta
91890;Clematis x triternata
610633;Clethra alnifolia
970955;Ziziphora acinos
970955;Ziziphora acinos
970957;Ziziphora granatensis subsp. alpina
970963;Ziziphora granatensis subsp. alpina
970961;Ziziphora granatensis subsp. granatensis
970961;Ziziphora granatensis subsp. granatensis
970954;Ziziphora corsica
91904;Clinopodium grandiflorum
91910;Clinopodium nepeta
718220;Clinopodium nepeta subsp. ascendens
;
;
718332;Clinopodium nepeta subsp. nepeta
788968;Clinopodium nepeta subsp. sylvaticum
718332;Clinopodium nepeta subsp. nepeta
718332;Clinopodium nepeta subsp. nepeta
970958;Ziziphora rotundifolia
91912;Clinopodium vulgare
91912;Clinopodium vulgare
91912;Clinopodium vulgare
611091;Clinopodium x cadevallii
970959;Ziziphora x mixta
611703;Clypeola cyclodontea
91930;Clypeola jonthlaspi
91941;Cneorum tricoccon
89531;Centaurea benedicta
92021;Cobaea scandens
92026;Cochlearia aestuaria
92029;Cochlearia anglica
92038;Cochlearia danica
611092;Cochlearia danica x
92026;Cochlearia officinalis
92026;Cochlearia pyrenaica
92064;Cochlearia x hollandica
92097;Coeloglossum viride
92106;Coincya monensis
133401;Coincya monensis subsp. cheiranthos
133401;Coincya monensis subsp. cheiranthos
92107;Coincya richeri
92114;Coix lacryma-jobi
92124;Colchicum alpinum
92124;Colchicum alpinum
92124;Colchicum alpinum
611307;Colchicum alpinum x
159903;Colchicum arenasii
92127;Colchicum autumnale
92132;Colchicum bulbocodium
92136;Colchicum corsicum
92138;Colchicum cupanii
92139;Colchicum filifolium
92142;Colchicum haynaldii
92146;Colchicum longifolium
92148;Colchicum montanum
92146;Colchicum longifolium
717143;Colchicum nanum
92146;Colchicum longifolium
92124;Colchicum alpinum
160967;Colchicum variegatum
92171;Coleanthus subtilis
92175;Coleostephus myconis
92176;Coleostephus paludosus
92177;Colletia cruciata
92179;Collomia grandiflora
447722;Colocasia esculenta
92196;Colutea arborescens
92198;Colutea brevialata
92203;Colutea orientalis
92204;Colutea x media
92217;Comarum palustre
92220;Comastoma tenellum
446168;Commelina benghalensis
160930;Commelina coelestis
92222;Commelina communis
446169;Commelina diffusa
611094;Commelina erecta
611093;Commelina erecta
92237;Conium maculatum
612445;Conium maculatum var. maculatum
621306;Conium maculatum var. viride
;
92242;Conopodium majus
718333;Conopodium majus subsp. majus
92245;Conopodium pyrenaeum
92254;Conringia orientalis
94567;Delphinium ajacis
161239;Delphinium orientale
94599;Delphinium pubescens
94572;Delphinium consolida
92282;Convallaria majalis
92297;Convolvulus althaeoides
92302;Convolvulus arvensis
92306;Convolvulus betonicifolius
92308;Convolvulus cantabrica
92316;Convolvulus dubius
92317;Convolvulus elegantissimus
721931;Convolvulus japonicus
92329;Convolvulus lanuginosus
92331;Convolvulus lineatus
92348;Convolvulus sabatius
133423;Convolvulus sabatius subsp. mauritanicus
92353;Convolvulus sepium
92353;Convolvulus sepium
92356;Convolvulus siculus
92357;Convolvulus silvaticus
92358;Convolvulus soldanella
92364;Convolvulus tricolor
133427;Convolvulus tricolor subsp. cupanianus
133428;Convolvulus tricolor subsp. tricolor
717145;Convolvulus x howittiorum
;
717146;Convolvulus x scanicus
92421;Corallorhiza trifida
160394;Corchorus olitorius
92430;Cordyline australis
;
92441;Coreopsis basalis
92448;Coreopsis grandiflora
92449;Coreopsis lanceolata
92453;Coreopsis tinctoria
611095;Coreopsis verticillata
92465;Coriandrum sativum
92467;Coriaria myrtifolia
92478;Coris monspeliensis
92478;Coris monspeliensis
611096;Corispermum gmelinii
92481;Corispermum gallicum
611096;
92483;Corispermum intermedium
611097;Corispermum pallasii
92486;Coristospermum ferulaceum
92487;Coristospermum lucidum
133431;Coristospermum lucidum subsp. lucidum
92493;Cornucopiae cucullatum
92494;Cornus alba
92496;Cornus florida
92497;Cornus mas
92501;Cornus sanguinea
892320;Cornus sanguinea subsp. australis
133432;Cornus sanguinea subsp. sanguinea
159937;Cornus sericea
961536;Cornus torreyi
159937;Cornus sericea
92515;Coronilla coronata
160432;Coronilla cretica
102845;Hippocrepis emerus
92521;Coronilla glauca
92525;Coronilla juncea
92527;Coronilla minima
133435;Coronilla minima subsp. lotoides
133436;Coronilla minima subsp. minima
92534;Coronilla repanda
92536;Coronilla scorpioides
92537;Coronilla securidaca
92543;Coronilla vaginalis
92515;Coronilla coronata
92546;Coronilla varia
105615;Lepidium didymum
;
;
;
92567;Corrigiola telephiifolia
92567;Corrigiola telephiifolia
92572;Cortaderia selloana
610637;Cortia candollei
610638;Cortia wallichiana
115894;Primula matthioli
92581;Corydalis cava
90178;Ceratocapnos claviculata
92589;Corydalis intermedia
92593;Corydalis pumila
92589;Corydalis solida
92589;Corydalis intermedia
133454;Corydalis solida subsp. solida
1020283;Corydalis x hausmannii
1020283;Corydalis x hausmannii
92603;Corydalis x moravica
92604;Corydalis x neumannii
92606;Corylus avellana
92607;Corylus colurna
92609;Corylus maxima
717147;Corymbia calophylla
717741;Corymbia calophylla x
717148;Corymbia ficifolia
92613;Corynephorus articulatus
92613;Corynephorus articulatus
92613;Corynephorus articulatus
92614;Corynephorus canescens
92613;Corynephorus articulatus
92613;Corynephorus articulatus
92619;Cosentinia vellea
133459;Cosentinia vellea subsp. vellea
92623;Cosmos bipinnatus
92624;Cosmos sulphureus
92627;Cota altissima
610639;Cota segetalis
92629;Cota tinctoria
92629;Cota tinctoria
92629;Cota tinctoria
717742;Cota tinctoria x
92630;Cota triumfetti
92631;Cotinus coggygria
92632;Cotoneaster acuminatus
92634;Cotoneaster adpressus
92635;Cotoneaster affinis
92658;Cotoneaster franchetii
92663;Cotoneaster horizontalis
717152;Cotoneaster nebrodensis
92663;Cotoneaster horizontalis
92642;Cotoneaster bullatus
92642;Cotoneaster bullatus
92642;Cotoneaster bullatus
92643;Cotoneaster buxifolius
92646;Cotoneaster cochleatus
92647;Cotoneaster congestus
92648;Cotoneaster conspicuus
717150;Cotoneaster coriaceus
92649;Cotoneaster dammeri
92651;Cotoneaster delphinensis
92652;Cotoneaster dielsianus
92654;Cotoneaster divaricatus
92656;Cotoneaster ellipticus
199941;Cotoneaster 'Exburiensis'
92658;Cotoneaster franchetii
92659;Cotoneaster frigidus
92661;Cotoneaster hissaricus
92663;Cotoneaster horizontalis
92634;Cotoneaster horizontalis
717151;Cotoneaster hsingshangensis
92665;Cotoneaster ignotus
92667;Cotoneaster integerrimus
92668;Cotoneaster integrifolius
92633;Cotoneaster acutifolius
92673;Cotoneaster lucidus
92646;Cotoneaster integrifolius
159608;Cotoneaster microphyllus
92668;Cotoneaster integrifolius
92642;Cotoneaster moupinensis
92632;Cotoneaster acuminatus
92634;Cotoneaster multiflorus
92679;Cotoneaster nanshan
92710;Cotoneaster nebrodensis
92684;Cotoneaster nitens
92685;Cotoneaster nitidus
92687;Cotoneaster obtusus
92689;Cotoneaster pannosus
92698;Cotoneaster pyrenaicus
92700;Cotoneaster raboutensis
92704;Cotoneaster salicifolius
993912;Cotoneaster symondsii
92652;Cotoneaster dielsianus
92658;Cotoneaster franchetii
92651;Cotoneaster tomentosus
717153;Cotoneaster uniflorus
92711;Cotoneaster villosulus
92714;Cotoneaster x amphigenus
;
92716;Cotoneaster x suecicus
92717;Cotoneaster x watereri
92718;Cotoneaster zabelii
92720;Cotula anthemoides
92722;Cotula australis
92723;Cotula coronopifolia
92734;Cotyledon orbiculata
92782;Crambe maritima
807508;Solanecio angulatus
92806;Crassula alata
92788;Crassula aquatica
;
;
92793;Crassula helmsii
92799;Crassula muscosa
;
92802;Crassula pubescens
92806;Crassula tillaea
92807;Crassula vaillantii
92824;Crataegus azarolus
145725;Crataegus azarolus var. azarolus
145726;Crataegus azarolus var. chlorocarpa
92838;Crataegus coccinioides
92840;Crataegus crus-galli
92854;Crataegus germanica
92863;Crataegus laciniata
92864;Crataegus laevigata
92824;Crataegus monogyna
92876;Crataegus monogyna
92876;Crataegus monogyna
994925;Crataegus coccinea
92892;Crataegus persimilis
92900;Crataegus x subsphaerica
92900;Crataegus rosiformis
92903;Crataegus sanguinea
92911;Crataegus submollis
92914;Crataegus succulenta
160482;Crataegus tanacetifolia
717157;Crataegus x gillotii
611102;Crataegus x lavallei
92943;Crataegus x lobata
92945;Crataegus x macrocarpa
92945;Crataegus x macrocarpa
92962;Crataegus x sinaica
92963;Crataegus x subsphaerica
92996;Crepis albida
133499;Crepis albida subsp. albida
611103;Crepis amplexifolia
93004;Crepis aurea
133500;Crepis aurea subsp. aurea
93014;Crepis bellidifolia
93015;Crepis biennis
93020;Crepis bursifolia
93023;Crepis capillaris
93027;Crepis conyzifolia
93036;Crepis dioscoridis
93045;Crepis foetida
133503;Crepis foetida subsp. foetida
133504;Crepis foetida subsp. glandulosa
133508;Crepis foetida subsp. rhoeadifolia
611104;Crepis juvenalis
93075;Crepis lampsanoides
93079;Crepis leontodontoides
93086;Crepis micrantha
93088;Crepis mollis
93097;Crepis nicaeensis
93101;Crepis paludosa
611105;Crepis pontana
93112;Crepis praemorsa
93114;Crepis pulchra
93115;Crepis pygmaea
93116;Crepis pyrenaica
93122;Crepis rhaetica
93125;Crepis rubra
93129;Crepis sancta
93129;Crepis sancta
93129;Crepis sancta
93134;Crepis setosa
93140;Crepis suffreniana
93144;Crepis tectorum
93157;Crepis vesicaria
133530;Crepis vesicaria subsp. stellata
133531;Crepis vesicaria subsp. taraxacifolia
133532;Crepis vesicaria subsp. vesicaria
93161;Crepis x druceana
93164;Crepis x holubyana
93167;Crepis zacintha
93171;Cressa cretica
160295;Crinum bulbispermum
93181;Crinum x powellii
93190;Crithmum maritimum
93193;Crithopsis delileana
159966;Crocosmia aurea
93198;Crocosmia masoniorum
93199;Crocosmia paniculata
93200;Crocosmia x crocosmiiflora
717744;Crocus biflorus x
93215;Crocus chrysanthus
93217;Crocus corsicus
93220;Crocus etruscus
93223;Crocus flavus
93232;Crocus kotschyanus
93236;Crocus ligusticus
93243;Crocus minimus
1040317;Crocus neapolitanus
93236;Crocus nudiflorus
93257;Crocus pulchellus
93263;Crocus sativus
93266;Crocus sieberi
;
93266;Crocus sieberi
93250;Crocus nudiflorus
93276;Crocus tommasinianus
93223;Crocus flavus
93284;Crocus versicolor
93288;Crocus x fritschii
93295;Crucianella angustifolia
93297;Crucianella latifolia
93298;Crucianella maritima
611130;Crucianella patula
93307;Cruciata glabra
93308;Cruciata laevipes
93309;Cruciata pedemontana
145773;Cruciata pedemontana var. pedemontana
145774;Cruciata pedemontana var. procumbens
93442;Crupina crupinastrum
93442;Crupina vulgaris
93450;Crupina x intermedia
1015899;Sporobolus aculeatus
1015901;Sporobolus alopecuroides
1015904;Sporobolus schoenoides
93469;Cryptogramma crispa
93471;Cryptomeria japonica
160337;Ctenopsis cynosuroides
160339;Ctenopsis delicatula
93478;Ctenopsis pectinella
93535;Cucumis melo
133550;Cucumis melo subsp. melo
93539;Cucumis sativus
93540;Cucumis trigonus
93548;Cucurbita ficifolia
93550;Cucurbita maxima
611694;Cucurbita moschata
93555;Cucurbita pepo
93555;Cucurbita pepo
93562;Cullen americanum
93564;Cuminum cyminum
610665;Cunninghamia lanceolata
1030434;Hesperocyparis arizonica
1030434;Hesperocyparis arizonica
1030435;Hesperocyparis glabra
1030436;Hesperocyparis bakeri
611158;Cupressus cashmeriana
611157;Cupressus duclouxiana
611153;Cupressus dupreziana
611155;Cupressus funebris
1030438;Hesperocyparis goveniana
1030441;Hesperocyparis guadalupensis
1030442;Hesperocyparis lusitanica
1030443;Hesperocyparis macnabiana
1030444;Hesperocyparis macrocarpa
789067;Callitropsis nootkatensis
1030445;Hesperocyparis sargentii
93590;Cupressus sempervirens
611152;Cupressus torulosa
1040732;x Hesperotropsis
1040734;x Hesperotropsis
93601;Cuscuta approximata
133555;Cuscuta approximata subsp. approximata
93613;Cuscuta campestris
93620;Cuscuta epilinum
93601;Cuscuta epithymum
133564;Cuscuta epithymum subsp. corsicana
133565;Cuscuta epithymum subsp. epithymum
133566;Cuscuta epithymum subsp. kotschyi
93621;Cuscuta europaea
93627;Cuscuta gronovii
159968;Cuscuta lupuliformis
93637;Cuscuta monogyna
93639;Cuscuta palaestina
93601;Cuscuta planiflora
133566;Cuscuta epithymum subsp. kotschyi
93640;Cuscuta planiflora
93642;Cuscuta racemosa
93644;Cuscuta scandens
93644;Cuscuta scandens
93644;Cuscuta scandens
93644;Cuscuta scandens
93644;Cuscuta scandens
93648;Cuscuta suaveolens
610542;Cutandia divaricata
619194;Cutandia maritima
610678;Cyanus depressus
717745;Cyanus graminifolius
717746;Cyanus lugdunensis
93673;Cyanus montanus
93680;Cyanus segetum
717747;Cyanus semidecurrens
;
;
;
447942;Cycas revoluta
93695;Cyclamen balearicum
93699;Cyclamen hederifolium
160306;Cyclamen persicum
93708;Cyclamen purpurascens
93695;Cyclamen repandum
1022313;Dysphania atriplicifolia
959293;Leptogramma pozoi
93723;Cyclospermum leptophyllum
93734;Cydonia oblonga
93755;Cymbalaria aequitriloba
93762;Cymbalaria hepaticifolia
93763;Cymbalaria muralis
93763;Cymbalaria muralis
93774;Cymodocea nodosa
93777;Cynanchum acutum
93783;Cynara cardunculus
93783;Cynara cardunculus
93783;Cynara scolymus
93803;Cynodon dactylon
93803;Cynodon dactylon
93803;Cynodon dactylon
611750;Cynoglossum clandestinum
93828;Cynoglossum creticum
1026744;Cynoglossum x salesianorum
93829;Cynoglossum dioscoridis
93830;Cynoglossum germanicum
93830;Cynoglossum germanicum
93830;Cynoglossum germanicum
93830;Cynoglossum germanicum
93830;Cynoglossum germanicum
93840;Cynoglossum officinale
93844;Cynoglossum pustulatum
612452;Cynoglossum pustulatum subsp. pustulatum
162299;Cynoglottis barrelieri
93854;Cynomorium coccineum
93860;Cynosurus cristatus
93864;Cynosurus echinatus
93864;Cynosurus effusus
93865;Cynosurus effusus
93865;Cynosurus effusus
93865;Cynosurus effusus
93893;Cyperus aggregatus
93954;Cyperus alternifolius
93898;Cyperus badius
93906;Cyperus capitatus
93913;Cyperus congestus
93918;Cyperus difformis
93920;Cyperus dives
93923;Cyperus eragrostis
93924;Cyperus esculentus
145855;Cyperus esculentus var. esculentus
145856;Cyperus esculentus var. heermannii
145857;Cyperus esculentus var. leptostachyus
;
145859;Cyperus esculentus var. sativus
93929;Cyperus flavescens
93930;Cyperus flavidus
93936;Cyperus fuscus
93938;Cyperus glomeratus
93954;Cyperus involucratus
161524;Cyperus iria
93961;Cyperus laevigatus
133609;Cyperus laevigatus subsp. distachyos
93898;Cyperus longus
888128;Cyperus michelianus
161522;Cyperus microiria
94011;Cyperus odoratus
446188;Cyperus papyrus
94007;Cyperus reflexus
94009;Cyperus rigens
94011;Cyperus rotundus
94011;Cyperus rotundus
94013;Cyperus schweinitzii
94014;Cyperus serotinus
94033;Cyperus surinamensis
94037;Cyperus x heribaudii
94041;Cypripedium calceolus
94045;Cyrtomium falcatum
94046;Cyrtomium fortunei
133615;Cystopteris fragilis subsp. alpina
1038298;Cystopteris fragilis subsp.
133619;Cystopteris fragilis subsp. diaphana
133622;Cystopteris fragilis subsp. fragilis
94066;Cystopteris fragilis
133622;Cystopteris fragilis subsp. fragilis
133623;Cystopteris fragilis subsp. huteri
94068;Cystopteris montana
94074;Cystopteris x christii
1038297;Cystopteris fragilis nothosubsp. montserratii
94079;Cytinus hypocistis
133627;Cytinus hypocistis subsp. hypocistis
133626;Cytinus hypocistis subsp. clusii
94092;Cytisophyllum sessilifolium
94098;Cytisus arboreus
94098;Cytisus arboreus
94099;Cytisus ardoinoi
810956;Cytisus ardoinoi subsp. ardoinoi
94106;Cytisus cantabricus
94111;Cytisus decumbens
94114;Cytisus elongatus
94114;Cytisus hirsutus
717159;Cytisus infestus
792094;Cytisus laniger
94136;Cytisus lotoides
94142;Cytisus multiflorus
94144;Cytisus nigricans
133642;Cytisus nigricans subsp. nigricans
94145;Cytisus oromediterraneus
94153;Cytisus polytrichus
159624;Cytisus ratisbonensis
810955;Cytisus ardoinoi subsp. sauzeanus
94106;Cytisus scoparius
133646;Cytisus scoparius subsp. scoparius
;
133646;Cytisus scoparius subsp. scoparius
133646;Cytisus scoparius subsp. scoparius
133645;Cytisus scoparius subsp. maritimus
810909;Cytisus scoparius subsp. reverchonii
133646;Cytisus scoparius subsp. scoparius
94167;Cytisus spinosus
94168;Cytisus striatus
133648;Cytisus striatus subsp. striatus
94123;Cytisus hirsutus
94174;Cytisus triflorus
94177;Cytisus villosus
94180;Cytisus x beanii
94182;Cytisus x dallimorei
94184;Cytisus x kewensis
94185;Cytisus x praecox
94195;Daboecia cantabrica
;
94195;Daboecia cantabrica
94207;Dactylis glomerata
133652;Dactylis glomerata subsp. glomerata
718335;Dactylis glomerata subsp.
133653;Dactylis glomerata subsp. hackelii
133654;Dactylis glomerata subsp. hispanica
133655;Dactylis glomerata subsp. lobata
133658;Dactylis glomerata subsp. oceanica
612454;Dactylis glomerata subsp. reichenbachii
718336;Dactylis glomerata subsp. slovenica
145918;Dactylis glomerata var. capitellata
638629;Dactyloctenium aegyptium
94267;Dactylorhiza majalis
94267;Dactylorhiza majalis
611206;Dactylorhiza angustata x
94247;Dactylorhiza brennensis
611218;Dactylorhiza brennensis x
94247;Dactylorhiza elata
94247;Dactylorhiza brennensis
94252;Dactylorhiza elata
94267;Dactylorhiza majalis
94257;Dactylorhiza fuchsii
94257;Dactylorhiza fuchsii
94257;Dactylorhiza fuchsii
611217;Dactylorhiza fuchsii x
611333;Dactylorhiza fuchsii x
611344;Dactylorhiza fuchsii x
94259;Dactylorhiza incarnata
146004;Dactylorhiza incarnata var. incarnata
133674;Dactylorhiza incarnata subsp. cruenta
611211;Dactylorhiza incarnata subsp.
611209;Dactylorhiza incarnata subsp.
133675;Dactylorhiza incarnata subsp. incarnata
611341;Dactylorhiza incarnata subsp.
94259;Dactylorhiza incarnata
133675;Dactylorhiza incarnata subsp. incarnata
;
146003;Dactylorhiza incarnata var. hyphaematodes
133675;Dactylorhiza incarnata subsp. incarnata
;
923047;Dactylorhiza incarnata var. serotina
619231;Dactylorhiza incarnata var. straminea
619224;Dactylorhiza insularis
619224;Dactylorhiza insularis
94262;Dactylorhiza lapponica
94267;Dactylorhiza sambucina
94257;Dactylorhiza maculata
94266;Dactylorhiza maculata
94266;Dactylorhiza maculata
94266;Dactylorhiza maculata
611215;Dactylorhiza maculata subsp.
94266;Dactylorhiza maculata
94266;Dactylorhiza maculata
94266;Dactylorhiza maculata
611765;Dactylorhiza maculata x
94262;Dactylorhiza majalis
94267;Dactylorhiza majalis
611207;Dactylorhiza majalis subsp.
611205;Dactylorhiza majalis subsp.
94267;Dactylorhiza majalis
611203;Dactylorhiza majalis x
611343;Dactylorhiza majalis x
94252;Dactylorhiza elata
611208;Dactylorhiza occitanica x
619231;Dactylorhiza incarnata var. straminea
94273;Dactylorhiza praetermissa
94273;Dactylorhiza praetermissa
94273;Dactylorhiza praetermissa
94273;Dactylorhiza praetermissa
94273;Dactylorhiza praetermissa
94273;Dactylorhiza praetermissa
94273;Dactylorhiza praetermissa
611214;Dactylorhiza praetermissa x
94278;Dactylorhiza saccifera
94279;Dactylorhiza sambucina
94279;Dactylorhiza sambucina
94279;Dactylorhiza sambucina
94266;Dactylorhiza maculata
94283;Dactylorhiza sphagnicola
94266;Dactylorhiza maculata
611334;Dactylorhiza sudetica x
94262;Dactylorhiza traunsteineri
94262;Dactylorhiza lapponica
611210;Dactylorhiza traunsteineri subsp.
92097;Coeloglossum viride
611336;Dactylorhiza viridis x
611345;Dactylorhiza viridis x
94290;Dactylorhiza x altobracensis
94292;Dactylorhiza x ampolai
94293;Dactylorhiza x aschersoniana
;
;
;
94294;Dactylorhiza x batavica
94295;Dactylorhiza x bourdonii
94296;Dactylorhiza x braunii
94298;Dactylorhiza x carnea
;
;
162176;Dactylorhiza x conigera
94301;Dactylorhiza x delamainii
94303;Dactylorhiza x dubreuilhii
94304;Dactylorhiza x dufftiana
162159;Dactylorhiza x erdingeri
;
94308;Dactylorhiza x flixensis
94310;Dactylorhiza x gotlandica
